text,airline_sentiment
  virginamerica await my return phone call   just would prefer to use your online self service option    ,0
  virginamerica this be great news   america could start flight to hawaii by end of year http    t co rpzyfe via   pacificbiznews,2
nice rt   virginamerica   vibe with the moodlight from takeoff to touchdown     moodlitmonday   sciencebehindtheexperience http    t co younxtqp,1
  virginamerica moodlighting be the only way to fly   best experience ever   cool and calm       moodlitmonday,2
  virginamerica   freddieawards do and do   best airline around   hand down  ,2
  virginamerica when can i book my flight to hawaii    ,1
  virginamerica your chat support be not work on your site   http    t co vhpgtdwpk,0
  virginamerica view of downtown los angeles   the hollywood sign   and beyond that rain in the mountains   http    t co dwnfibtr,2
  virginamerica hey   first time flyer next week   excite   but i be have a hard time get my flight add to my elevate account   help  ,0
  virginamerica plz help me win my bid upgrade for my flight   lax       sea        ,1
  virginamerica i have an unused ticket but move to a new city where you do not fly   how can i fly with you before it expire     travelhelp,1
  virginamerica be flight leave dallas for seattle on time feb  ,1
  virginamerica i be   elevategold for a good reason   you rock    ,2
  virginamerica dream http    t co oadrfaoq http    t co lwwdackhx,1
  virginamerica wow this just blow my mind,2
  virginamerica   ladygaga   carrieunderwood after last night   tribute   soundofmusic   oscars   ladygaga   i think   carrieunderwood agree,1
  virginamerica   ladygaga   carrieunderwood all be entertain,1
  virginamerica be flight on it be way   be suppose to take off minutes ago   website still show   on time   not   in flight     thank  ,1
  virginamerica   ladygaga   carrieunderwood julie andrews all the way though   ladygaga be very impressive   no to   carrieunderwood,2
  virginamerica wish you fly out of atlanta   soon  ,1
  virginamerica   ladygaga   carrieunderwood julie andrews   hand down  ,1
  virginamerica will flight be leave dallas for la on february th  ,1
  virginamerica hi   i be so excite about your   lga    dal deal  but i have be try book since last week   the page never load   thank  ,0
  virginamerica you know it   need it on my spotify stat   guiltypleasures,2
  virginamerica   ladygaga   carrieunderwood i be lady gaga       she be amaze    ,2
  virginamerica   ladygaga   carrieunderwood   carrie  ,1
  virginamerica new market song   https    t co flfulcbq let us know what you think  ,1
  virginamerica   ladygaga   carrieunderwood julie andrews first but lady gaga wow  d me last night   carrie   meh  ,1
  virginamerica i call a   weeks ago about add flight from to my elevate   they still have not show up   help  ,0
  virginamerica   ladygaga   carrieunderwood all be great   but i have to go with   carrieunderwood  ,1
  virginamerica   ladygaga   carrieunderwood sorry   mary martin have it first  ,1
  virginamerica   ladygaga   carrieunderwood love all three but you really can not beat the classics  ,2
  virginamerica flight dal to dca    pm   try to check in could not   status please  ,1
  virginamerica heyyyy guyyyys   be try to get through for an hour   can someone call me please      ,0
  virginamerica hi   virgin   i be on hold for   minutes   be there any earlier flight from la to nyc tonight   earlier than  pm  ,0
  virginamerica congrats on win the   travelzoo award for best deal from an airline   us   http    t co kjiljaebv,2
  virginamerica everything be fine until you lose my bag,0
  virginamerica need to change reservation   have virgin credit card   do i need to modify on phone to waive change fee   or can i do online  ,1
  virginamerica i email your customer service team   let me know if you need the track number  ,1
  virginamerica hi i just book a flight but need to add baggage   how can i do this  ,1
  virginamerica your airline be awesome but your lax loft need to step up its game     for dirty table and floor   http    t co hyvrfhjht,0
  virginamerica not worry   it be be a great ride in a new plane with great crew   all airlines should be like this  ,2
  virginamerica awesome   i fly you all sit morning   any way we can correct my bill  ,2
  virginamerica or watch some of the best student film in the country at   feet     cmfatfeet http    t co kekpdmgif,1
  virginamerica first time fly you all   do you have a different rate policy for media bag   thank,1
  virginamerica what be go on with customer service   be there anyway to speak to a human as soon as possible   thank you  ,0
  virginamerica what happen to doom    ,1
  virginamerica why can not you supp the biz traveler like   southwestair and have customer service like   jetblue   neverflyvirginforbusiness,0
  virginamerica i have apply more then once to be a member of the   inflight crew team   i be   interest     flightattendant   dreampath  g,2
  virginamerica you be the best     whenever i   begrudgingly   use any other airline i be delay and late flight    ,0
  virginamerica i have no interest fly with you after this   i will cancel flight my next four flight i planned    neverflyvirginforbusiness,0
  virginamerica it be a disappoint experience which will be share with every business traveler i meet     neverflyvirgin,0
  virginamerica i be have trouble add this flight my wife book to my elevate account   help   http    t co pxhqoksr,0
  virginamerica can not bring up my reservation online use flight book problems code,1
  virginamerica random q   what be the distribution of elevate avatars   i bet that kitty have a disproportionate share http    t co aptzpurop,1
  virginamerica i   fly va but life happen and i be try to   change my trip jperhi can you help va home page will not let me  ,1
  virginamerica why be the site down   when will it be back up  ,0
  virginamerica   you down with rnp       yeah you know me    ,1
  virginamerica hi   i do not get point on my elevate account for my most recent flight   how do i add the flight and point to my account  ,1
  virginamerica i like the tv and interest video   just disappoint in cancel flightled flight when other flight go out to jfk on saturday  ,0
  virginamerica just land in lax   an hour after i should of be here   your no late flight bag check be not business travel friendly   nomorevirgin,0
  virginamerica why be flight redirect  ,1
  virginamerica be it me   or be your website down   by the way   your new website be not a great user experience   time for another redesign  ,0
  virginamerica i can not check in or add a bag   your website be not work   i have try both desktop and mobile http    t co avyqdmpiy,0
  virginamerica   let scan in passengers leave the plane than tell someone to remove their bag from st class bin     uncomfortable,0
  virginamerica what be your phone number   i can not find who to call about a flight reservation  ,0
  virginamerica be anyone do anything there today   website be useless and no one be answer the phone  ,0
  virginamerica try to add my boy prince to my ressie   sf this thursday   virginamerica from lax http    t co gsbjcgm,1
  virginamerica why must a traveler miss a flight to late flight check a bag   i miss my morning appointments and you lose my business     sfolax,0
  virginamerica check out new music http    t co marcnocwzn,1
  virginamerica how be a direct flight fll    sfo have unexpected layover in vegas fuel yet peep next to me buy for vegas flight     sneaky,0
  virginamerica your no late flight bag check just lose you my business   i miss flight and be apt   three other people on flight have same exp  ,0
  virginamerica   amaze customer service   again     raeann in sf   she be the best     customerservice   virginamerica   fly,2
  virginamerica call your service line and be hang up on   this be awesome     sarcasm,0
  virginamerica your site be trip   i be try to check in and i be get the plain text version   i be reluctant to enter any card info  ,0
  virginamerica i be schedule for sfo dal flight today   change to th due weather   look like flight still on  ,1
  virginamerica have getaway deal through may   from   one way   lot of cool cities http    t co tzzjhuibch   cheapflights   farecompare,2
  virginamerica have getaway deal through may   from   one way   lot of cool cities http    t co rpdbpxwnd   cheapflights   farecompare,1
  virginamerica have getaway deal through may   from   one way   lot of cool cities http    t co bxiygt   cheapflights   farecompare,2
  virginamerica have getaway deal through may   from   one way   lot of cool cities http    t co qdljhsloi   cheapflights   farecompare,1
  virginamerica have a great week  ,2
  virginamerica come back to   phl already   we need you to take us out of this horrible cold     pleasecomeback http    t co glxfwpnqh,2
  virginamerica should i be concern that i be about to fly on a plane that need to be delay due to a   tech stop    ,0
  virginamerica be the best airline i have fly on easy to change your reservation   helpful representatives   a comfortable fly experience,2
  virginamerica and again   another rep kick butt   naelah represent your team so beautifully     thank you      ,2
  virginamerica your beautiful front end design be down right now   but it be cool to still book my ticket b c all your back end be secure  ,2
  virginamerica love the team run gate e at las tonight   wait for a delay flight   and they keep things entertain,2
  virginamerica use another browser     a brand with a reputation build on tech response do not have a cross browser compatible website  ,0
  virginamerica and now the flight flight book problems site be totally down   folks   what be the problem  ,0
  virginamerica i like the customer service but a min delay just for connect passengers seem too long   va,0
  virginamerica thank to your outstanding nyc jfk crew who move mountains to get me home to san francisco tonight  ,2
  virginamerica you have the absolute best team and customer service ever   every time i fly with you i be delight   thank you  ,2
  virginamerica do you provide complimentary upgrade to first class   if there be available seat  ,1
  virginamerica i need to change my flight that be schedule in hours and min wait time on phone   i be call intern   help    ,0
  virginamerica completely awesome experience last month bos las nonstop   thank for such an awesome flight and depart time     vabeatsjblue,2
  virginamerica how can i watch the   oscars on my jfk    sfo flight  ,1
  virginamerica be flight cancel flightled and what do i do if it be  ,1
  virginamerica you be fail your customers because your check in process do not link to tsa pre check  ,0
  virginamerica   fidifamilies us too   terrible airline   just give us a hotel hotline number and say sorry,0
  virginamerica have flight number from sfo to cabo san lucas arrive yet  ,1
  virginamerica   chrysichrysic your assistance yesterday when you cancel flightled our flight be to give us a hotel hotline shame on you  ,0
  virginamerica another delay flight     likingyoulessandless,0
  virginamerica i need to register a service dog for a first class ticket from sfo   dull   the phone queue be an hour or longer   pls advise,0
  virginamerica you rock for make it so i can watch   oscars on my flight       redcarpet   oscars   oscars,2
  virginamerica     reallytallchris drop a track on you   https    t co zvpttrk,1
  virginamerica always       xoxo,2
  virginamerica why can not we book seat on your flight when we buy them or even during check in   create so much anxiety     frustrate,0
  virginamerica you would think pay an extra   buck rt for luggage might afford you hire an extra hand at   sfo   lame,0
  virginamerica best customer service rep in the world     irmafromdallas take the cake      ,2
  virginamerica can you find us a flt out of lax that be sooner than midnight on monday   that would be great customer service  ,1
  virginamerica please provide status for flight   i can not imagine it be on time as the web indicate dude to weather here and or dallas,0
  virginamerica you have amaze staff   super helpful as i just run the   waltdisneyworld   princesshalf they have spoil me with comfort      ,2
  virginamerica i pay the premium to fly you across the country   you cancel flight my flight and offer no check fee or upgrade love   sad face    ,0
  virginamerica question   be it not possible to book a seat for an infant under   it be not give me the option but we want a seat for him  ,0
always have it together       you be welcome   rt   virginamerica     jessicajaymes you be so welcome  ,2
  virginamerica   flight home to   dc   sunset   globe in     backtowinter back to   work     refresh http    t co vxvbctdlf,2
    virginamerica i do not understand why you need a dm to give me an answer on if you have a damage luggage policy  ,0
    virginamerica do that mean you do not have a policy for destroy luggage  ,0
  virginamerica be there special assistance if i travel alone w  kid and infant   priority board  ,1
  virginamerica thank you for check in   ticket be purchase and customer be happy      ,2
  virginamerica be your website ever come back online  ,1
  virginamerica   be flight from love field to sfo definitely cancel flightled for monday   february  ,1
  virginamerica be flight out of lga to dfw on time  ,1
  virginamerica my drivers license be expire by a little over a month   can i fly friday morning use my expire license  ,1
  virginamerica have problems flight book problems on the web site   keep give me an error and to contact by phone   phone be minute wait  ,0
  virginamerica how do i reschedule my cancel flightled flight online   the change button be grey out  ,0
  virginamerica i ring   but there be a wait for minutes     i can book the same ticket through a vendor   fix your site,0
  virginamerica get a flight   we be tell   for   today     check my email and its for   tomorrow   this be unacceptable  ,0
  virginamerica our flight into lga be cancel flight   we be stick in dallas   i call to reschedule   tell i could get a flight for today        ,0
  virginamerica why do not any of the pair include red wine     only white be offer       redwineisbetter,0
  virginamerica be the website down  ,0
  virginamerica   your site seem a little wonked right now   may want to have a look   try on two browsers   no css   http    t co qsqmmkf,0
  virginamerica i be disappoint that the agent at the designate silver status check in line   dulles_airport close to assist all pasengers,0
  virginamerica plan to include austin to its dallas route   topnews arab   emirates http    t co aqzwecokk,1
  virginamerica be it normal to receive no reply from central baggage   baggageissues   smh,0
  virginamerica at logan airport and wait to checkin for my be flight   checkin desk not open           why    ,0
  virginamerica to jump into the dallas austin market     dallas_news http    t co ewwgigdx,1
  virginamerica beat eps view   take on   southwestair va love   investor  s business daily http    t co flwmgdahxu,1
  virginamerica lister to my show my on monday,1
  virginamerica to begin dallas austin   flight in april     ketr http    t co ssuvwwkyhh,1
  virginamerica congrats   you just get all my business from ewr to sfo lax   fuck you   unite fl sfo ewr be the clincher  ,0
  virginamerica i apply over weeks ago   have not hear back and i be fly this week   disappoint,0
  virginamerica i would love to know what your policy be for damage luggage  ,1
  virginamerica thank you for the follow,2
  virginamerica   too many apologies   you r the worse airlines   do not even respond to your cudtomers,0
  virginamerica shame on va for make people spend money in strand cities when other airlines be land at jfk   who will reimburse me  ,0
  virginamerica   ttinac i dm you,1
  virginamerica can you please have flight in sjc   i have no choice but to fly southwest to vegas  ,1
  virginamerica too bad you say it take to days via your confirmation email   when i inquire after weeks you claim to weeks  ,0
  virginamerica flight from bos   las tomorrow be cancel flightled   no notification   wait time be   hour   will you rebook on another airline  ,0
  rt   virginamerica   you have meet your match   get status on another airline   upgrade    restr     http    t co rhkamxvf   http    t co pyalebgkjt,2
  virginamerica only way to fly     elevate   gold,2
  virginamerica if only you guy have flight from cmh  ,1
  virginamerica a lot of   apologies   be throw out to customers from what i can see very sad   thank for nothing   worst airline ever  ,0
  virginamerica for all my flight stuff wrong and do nothing about it   have   worst   flight ever,0
  virginamerica have an issue find a miss item on a plane   can you help me find which airport my plane head to next  ,1
  virginamerica you will match my   americanairlines status   cool  ,2
    virginamerica   you have meet your match got status on another airline   upgrade   http    t co hrdktqy     asarco_es_ar    ,1
  virginamerica try to book a flight with you guy and your website will not let me   about to lose my business,0
  virginamerica you suck  ,0
  virginamerica thank  ,2
  virginamerica just dm  d   same issue persist  ,0
  virginamerica because we never rec  d cancel flightlation notice we be leave w no options to fly out of ps   drive to la for a red eye mon w kid,0
  virginamerica try to book a flight   your site be down  ,0
  virginamerica you have any flight fly into boston tomorrow   i need to be home and you cancel flightled my flight and do not do anything,0
  virginamerica you stink   flight cancel flight from psp to jfk and no notification or ability to rebook   disappoint     expect better,0
  virginamerica i love your guy  s song   we be dance to it for our high school dance revue,2
  virginamerica your website be down and i be try to check in  ,0
  virginamerica do   thank you for the quick response   apparently faster than sit on hold    ,2
  virginamerica nervous about my flight from dc to lax get cancel flightled tomorrow   just send you a dm to help me  ,1
  virginamerica cool picture of another virginamerica plane off our wing   what a site   http    t co bagfdc,2
  virginamerica keep up the great work    ,2
  virginamerica my goodness your people   love field be amaze under pressure  from texas   beatstheothers in crisis please fly me to ny,2
  virginamerica thank for a great flight from la to boston   pilot do a great job land in the snow   can we go back to la now     seriously,2
  virginamerica can you please get me to the new york area before monday afternoon,1
  virginamerica thank so much for the awesome support   you guy rock  ,2
  virginamerica seat in row do not recline should mention that on your website   soreback,0
  virginamerica flight delay hours in la due to mechanical problems   handle like pros but you could have toss us a free drink  ,0
  virginamerica why cancel flight flight today   no precipitation to be scar of    ,0
  virginamerica twitter team   you guy kill it for reschedule me as soon as possible   thank you  ,2
  virginamerica you guy charge me   to reschedule a flight that be then cancel flight and be now refuse to refund it   what be the deal  ,0
  virginamerica can not access your website from safari on iphone   seem to work on mac and ipad   need iphone to add passbook  ,0
  virginamerica on ipad and iphone   click the checkin link in the email i receive at hrs before flight,1
  virginamerica your mobile site be break   show       header elevateuser numofpointsavailable         number     point     will not let me checkin,0
  virginamerica i be really look forward to my flight   can you let me know when it will be reschedule     diehardvirgin,0
  virginamerica why cancel flight flight vx   one sec its delay   on my to airport   the next its cancel flightled   go to email or call me to reschedule  ,0
  virginamerica i do it but there be a problem in the link from the email for check in   thank,0
  virginamerica have to change to another airline to get to dc today   why be   unite able to land in dc but not you   cost me     ugh,0
  virginamerica i be so look forward to my first flight with you today but it be cancel flightled along with the subsequent one  ,0
  virginamerica when be you put some great deal from pdx to las or from las to pdx show me your love   http    t co eniqgbuzj,2
  virginamerica wish i can afford to fly with you next friday go back home   love everything about your airline,2
  virginamerica how be you go to have a deal from dallas to dc but no deal from dc to dallas     sad,0
  virginamerica it be just a bug report   guy,1
  virginamerica hold time at call center be a bite much,0
  virginamerica like http    t co vpqemxuq,2
  virginamerica site down     help,0
  virginamerica you have the best flight attendant ever       http    t co pxdelnql,2
awesome   rt   virginamerica   watch nominate film at   feet     meetthefleet   oscars http    t co dnstitrzwy,2
  virginamerica thank so much  ,2
  virginamerica try to reset my password   email never arrive   help  ,0
  virginamerica   the only airline base in silicon valley     disruption   fcmostinnovative   incubator   fastcompany  s http    t co wulbcncr,2
  virginamerica very nicely do    ,2
  virginamerica i be look forward to watch the oscars on my flight home tomorrow   i might even get something bubbly to drink      ,2
  virginamerica what be the reason for the delay of the departure of vx from jfk this afternoon  ,0
  virginamerica be todays flight from palm spring   ca to jfk in ny cancel flightled  ,0
  virginamerica hahaha     virginamerica you guy be amaze   i love you guy        ,2
  virginamerica sound like fun  ,2
  virginamerica any update on flight from jfk   lax,1
  virginamerica spruce moose  ,1
  virginamerica the css on your site be a right now   please fix   site unusable  ,0
  virginamerica we be on flight vegas to boston today   check in online but our bag count do not register   can i fix that somehow  ,0
  virginamerica classiq   love virgin america   greetingz,2
  virginamerica hi   i be try to do check in but the website be not work   i try different browsers and the problem continue,0
  virginamerica thank for your great customer service today   for help me get all my travel sort out  ,2
  virginamerica thank guy   sweet route over the rockies   airplanemodewason,2
  virginamerica love the s music blast at gate in   boston while wait for flight to   sanfrancisco   only if i could get an ice coffee  ,2
  virginamerica   the passenger in d   flt that assault me should not have fly   i trust he be ban   crew file report to   faanews,0
  virginamerica current bug on website show   select departure city   when select destination city http    t co sllyibevq,0
  virginamerica luggage be severely dented missing wheel come off baggage claim in san   luggage agent miranda   i think   be not any help  ,0
  virginamerica thank you for the easy itinerary shift for impend weather   quick   painless   free  ,2
  virginamerica if you would love to see more girls be inspire to become pilot   rt our free woaw event march   at abq   http    t co rfxlvkgdh,1
  virginamerica thank   good time there and back     vodkatonics the entire flight    sfo,2
  virginamerica beat expectations   share take off   santa cruz sentinel http    t co qmdqbaig,1
  virginamerica any plan to start fly direct from dal to las  ,1
  virginamerica big love gratitude mpower w  http    t co agrkncpf werin   oscars vipswagbags     avalonhollywood http    t co ybmbgsdhn,1
  virginamerica   you be do a great job add little luxuries aesthetics that improve the air travel experience   thank you   keep it up  ,2
  virginamerica request window seat and confirm window but get stick in middle seat   not a good way to treat silver member ,0
  virginamerica grand budapest hotel   oscarscountdown,1
  virginamerica this be what you miss   newsvp   next trip to the  ,1
  virginamerica   wtf i pay for direct flight on purpose not to have to stop for fuel exhaust frequent flier and nothing for inconvenience  ,0
  virginamerica there be something wrong with you website in safari iphone,0
  virginamerica thank for gate check my baggage on your full flight dfw lax and give me early board too   sweet,2
  virginamerica already check in so the page expire   x,0
  virginamerica boo for a not refund a seat upgrade fee i do not want to buy in the first place  ,0
  virginamerica share rise on q financial result   usa today http    t co lfspefey,1
  virginamerica add pillow instead of lie flat seat in first class arm race http    t co rgywjbbhm,1
  virginamerica i see what you do there    ,2
  virginamerica way to take advantage of   mayweatherpacquiao    ,1
  virginamerica you know i be fly virgin for the fight   mayweatherpacquiao,1
  virginamerica your inflight team make the experience   amaze  ,2
  virginamerica cutest salt and pepper shaker ever   just when i think you guy can not get any better you just do   http    t co vckeulgj,2
  virginamerica move my seat with no notice     better seat   be cabin select not behind the row i selected    disappoint,0
  virginamerica share up on q result     iol http    t co xzqegnef,1
  virginamerica fav airline,2
  virginamerica we have a hot female pilot   sweet   dca to sfo        ,2
  when be you guy go to start fly to paris     virginamerica     lizautter you be welcome    ,1
  virginamerica what be your policy on fly after surgery   i be still wait for answer so i can tell me doctor  ,1
  virginamerica already contact central baggage   send dm     renttherunway be charge me for the dress that be in the lose suitcase   help,0
  virginamerica thank you    ,2
  virginamerica be there anything go on with the website   i have be get a lot of errors past minutes  ,0
  virginamerica i think i leave something on the plane yesterday   who do i call   ah  ,1
  virginamerica i need you to follow back in order to dm  ,1
  virginamerica need to start fly to   kciairport    ,1
  virginamerica they tell to check with the airline regulation first so that be why i contact you  ,1
  virginamerica   virginatlantic i have just check in flight to sfo from lax   be tell as atlantic fly club gold i get no benefit    ,0
  virginamerica husband and i order three drink via my screen and they never come   awesome  ,0
  virginamerica soooo be you guy go to leave the seatbelt light on all flight   you can barely call this turbulence      ,0
  virginamerica what be your policy on fly after surgery  ,1
  virginamerica post second consecutive full year net profit     atwonline http    t co tvbzbzvhg,1
  virginamerica funny story   your website be break   you have miss javascript and stylesheets on the checkin process   i dislike this  ,0
  virginamerica would love to do more for virgin just like i do for   gopro,2
  virginamerica result handily exceed forecast     nytimes http    t co gonmrwemi,1
  virginamerica i apply for a position in   flylaxairport   and i be wonder if you guy receive my application  ,1
  virginamerica achieve a second year of profitability despite revenue pressure       capa_aviation http    t co zsuztnaijq,1
  virginamerica give positive outlook   but see increase competition     reuters http    t co jeuodeyj,1
  virginamerica i be try to check into my  am ct flight tmm on the desktop website and it be not work   some sort of cache bug   so be,0
  virginamerica weather delay   next few weeks       jfk   bos   dca,1
  virginamerica   madbee check the website before you go to the airport  ,1
  virginamerica do you guy know your check in link from email be break   http    t co npxbobmr,0
  virginamerica pilot say we expect a choppy land in nyc due to some gusty wind w a temperature of about degrees   w the windchill  ,1
  virginamerica love it   can not wait for monday  s return flight   mostly just to watch the inflight safety video again     sorrynotsorry,2
  virginamerica lose my luggage days ago on flight vx from lax to iad   i be call every day   no response please give me back my stuff,0
  virginamerica the flight book problems section of your website seem to be break on chrome   might want to look into that  ,0
  virginamerica hi   just want to see if you have any new rout plan this year for newark   love fly you guy and hope to do so more  ,2
  virginamerica i mean   probably inappropriate while on board   but   it be on  ,2
  virginamerica happy to spend the day together   let us do this  ,2
  virginamerica be save my sanity right now   http    t co eltboljul,1
  virginamerica miss my flight   how do standby work  ,1
    virginamerica they be very understand and help me out   thank     comps,2
  virginamerica bring it all the way across the country today i see http    t co tkauygcpms,1
  virginamerica thank you   i absolutely will  ,2
  virginamerica look like a break link for your assets https    t co oardjjgrrd,0
  virginamerica be you ready     let us say it together    noooo turbulence today      ,1
  virginamerica the manage itinerary section of your website seem to be break for me https    t co pujvcelng,0
  virginamerica can not check in   your site look like this every time it load http    t co kacyawdbw,0
  virginamerica can you help this     freyabevan_fund need urgent treatment in y old battle cancer could you help with flight     freyasfund,1
  virginamerica may start service to hawaii from   sanfrancisco this year http    t co yponyprzl   biztravel,1
  virginamerica other carriers be less than half price for a round trip fare   i be stun   http    t co ukdjjijrow,0
  virginamerica wtf be happen in pdx late flight march such that one way from sfo be      ,0
  virginamerica add dtw and i be sell  ,1
  virginamerica how about some free drink on the flight back for the free promo  ,2
  virginamerica   ssal thank  ,2
  virginamerica momma i make it    ,1
  virginamerica please contact me about portfolio leave on flight vx from jfk to sfo tonite seat be   need it return   call    ,1
  virginamerica help   i be on flight from jkf tonight   seat c leave portfolio   need it back    ,1
  virginamerica   shrinerack seattle bind   wifey get me the duffle for vday   she be a keeper       holla       http    t co jloiblnair,1
  virginamerica my luggage be go   i have file my paperwork   promise a call email   still no resolution or response from central luggage  ,0
  virginamerica debbie baldwin give a   rockstar performance of the safety demo this even on vx   lassfo   bestcrew   sherocks,1
  virginamerica thank  ,2
  virginamerica thank for take care of   suuperg on her flight       rockstars   travel,2
  virginamerica thank for the lovely soft view     travel   san to   sfo http    t co cnctlgef,2
  virginamerica i request a mileage challenge for status several weeks ago online but have not hear back   how do i get help with this  ,0
  virginamerica just try to book ticket to nyc and face super fun break style   do not worry   i will keep try    ,0
  virginamerica many thank for the follow     ourprincess   freyasfund   usa   bandie look for any help      http    t co ujfszikd,1
  virginamerica nice   lofty view   flylaxairport     silverstatus http    t co ftpdawbd,1
  virginamerica apply for status match on feb   get confirmation email same day   still no news though   you guy have drop ball late flightly  ,0
  virginamerica be my new go to airline,1
  virginamerica   virginatlantic   gma   americanair can you help   ourprincess in need of some help in   usa   http    t co aztdaer,1
  virginamerica i adore you   and be so look forward to my flight to austin in two weeks  ,2
  virginamerica i be so glad it be mention   i take my first virgin flight a few years back and it be a transformative experience  ,2
  virginamerica flight book problems flight to uphold my status match   do tax on ticket count as earn status point     statusmatch   virginamerica,1
  virginamerica try to check in   but look like your site be down  ,0
  virginamerica spend my birthday night with you   dal dca   get me home  ,0
  virginamerica send a couple message to the email you provide but to no avail   will try again next year   cheer  ,0
  virginamerica first time fly virgin   go to   sanfrancisco  thanks for the smooth ride   easily my new fav airline  ,2
  virginamerica seriously   though   will there not be direct flight from sfo fll in may      ,0
  virginamerica it be fine   already do with my purchase   but you should try it   just go most of the way through then go back,0
  virginamerica not really the experience i be hop   i ws force check in a small carry on   w  nothing but empty cabin space on board,0
  virginamerica wjere be our luggage   so slow at lax,0
  virginamerica to jump into the   dallas   austin market http    t co szrpioa,1
  virginamerica i speak with a representative that offer no solution   i be a loyal customer who fly on   virginatlantic as well,0
  virginamerica i be deeply disappoint that your birthday promo be not apply to a trip i book mere days before i receive the email,0
  virginamerica what happen to direct flight from sfo fll   look in may   only see connect   help   dontdothistome,0
  virginamerica   can you help   leave my blazer in   kooples jacket bag at rd row second seat from right gate t lax   flight to sfo,1
  virginamerica partner with   visa checkout as mobile payment method to help boost mobile conversion rat   etailwest   payments   visa,1
  virginamerica just promote the product be all   have a problem with southwest and recommend noneother than the best   http    t co tfanxbhcf,2
  virginamerica love you guy   but pls get some direct rout las to aus  ,2
  virginamerica i would like help with some flight please  ,1
bruh     virginamerica     giannilee turn down for what     vxsafetydance  ,1
  virginamerica of course   i work for   virginatlantic and i be obsess with the entire virgin family    ,2
  virginamerica ok   first time fly with you tonight    ,2
  virginamerica dig the swanky pink mood light during the flight from nyc to sfo   just need a cabaret singer   think about it  ,1
  virginamerica do   but i need the receipt as soon as possible   could you please help      ,1
  virginamerica i have d and d emboss badge and patch superior to the ones you be currently use   http    t co fqxelbon,0
  virginamerica on vx from jfk to la   dirty plane   not up to your standards  ,0
  virginamerica on flight vx head to la from jfk   dirtiest va plane i have ever be on   sad for a great airline  ,0
  virginamerica get it square away   someone pick up as soon as i tweet   should have tweet sooner    ,2
  virginamerica your avis rental continue button do not work on your website to book car   try time on phone   this suck  ,0
  virginamerica delay to     ,0
  virginamerica currently in minute of be on hold with cust   service   do i need to do anything to add a lap child to my reservation  ,0
  virginamerica add pillow instead of lie flat seat in first class arm race http    t co sfjduahxz by   skift,1
    virginamerica     karinslee of course   have fun celebrate     thank   happy chinese new year  ,2
  virginamerica flight book problems last second flight for next week from sfo  to san any chance you want to gift me a promo code since i love you guy,2
  virginamerica comenity bank be a joke   please change   nothing but constant problems with this bank,0
  virginamerica i just do   how can i dm   do you have to also add me  ,1
  virginamerica for my grandma ella  s th   she would   a birthday greet from your flight crew   she be a stewardess for eastern airlines  ,2
  virginamerica just buy tix for atx   dallas route   thank for add that   love yr airline   yr website be best transactional site ever,2
  virginamerica anytime   sugafly  ,1
